display(log)
check(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/model.txt)
model is syntactically correct
data(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(100)
update(2)
set(alpha)
set(b.male)
set(b.student)
set(tau.age)
set(tau.ethngrp)
set(tau.la)
set(v)
set(w)
set(r)
set(deviance)
dic.set()
update(498)
coda(*,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	r[236]	-0.1403	0.5208	0.01479	-1.177	-0.1241	0.8673	3	1494
	r[237]	0.08723	0.3453	0.008659	-0.6176	0.09839	0.7358	3	1494
	r[238]	-0.7015	0.4596	0.01422	-1.659	-0.6835	0.1396	3	1494
	r[239]	-0.01628	0.4238	0.0106	-0.8809	-0.005629	0.81	3	1494
	r[240]	0.2074	0.4083	0.009711	-0.6036	0.215	0.9562	3	1494
	r[241]	-0.3337	0.4654	0.0128	-1.248	-0.3156	0.5763	3	1494
	r[242]	0.935	0.4527	0.01104	0.03077	0.9322	1.861	3	1494
	r[243]	-0.2861	0.5602	0.01641	-1.394	-0.2758	0.7849	3	1494
	r[244]	0.379	0.3332	0.008365	-0.314	0.3891	1.02	3	1494
	r[245]	0.2847	0.5258	0.01421	-0.765	0.315	1.31	3	1494
	r[246]	0.08156	0.4818	0.01362	-0.8481	0.08782	1.011	3	1494
	r[247]	-0.336	0.487	0.01221	-1.313	-0.3272	0.6109	3	1494
	r[248]	0.02818	0.5586	0.01402	-1.049	0.01873	1.082	3	1494
	r[249]	-0.1344	0.5369	0.01519	-1.196	-0.1196	0.8861	3	1494
	r[250]	-0.4579	0.4085	0.01127	-1.295	-0.438	0.2926	3	1494
	r[251]	1.144	0.4245	0.01238	0.2877	1.151	1.991	3	1494
	r[252]	0.1962	0.4859	0.01344	-0.765	0.1978	1.161	3	1494
	r[253]	-0.3739	0.5525	0.01313	-1.505	-0.362	0.6818	3	1494
	r[254]	0.403	0.5631	0.01391	-0.6694	0.397	1.55	3	1494
	r[255]	-0.4234	0.5124	0.0121	-1.458	-0.4186	0.5772	3	1494
	r[256]	-0.724	0.3791	0.01083	-1.518	-0.7088	-0.01654	3	1494
	r[257]	-0.2683	0.5467	0.01309	-1.329	-0.2598	0.804	3	1494
	r[258]	0.2489	0.5314	0.01276	-0.7615	0.2532	1.352	3	1494
	r[259]	-0.1596	0.4484	0.00991	-1.028	-0.1613	0.7318	3	1494
	r[260]	-0.1195	0.4295	0.01316	-1.044	-0.1176	0.717	3	1494
	r[261]	0.7275	0.3485	0.008069	0.04401	0.7368	1.407	3	1494
	r[262]	0.4356	0.4868	0.01335	-0.4747	0.4573	1.393	3	1494
	r[263]	0.051	0.5119	0.01217	-0.9559	0.05646	1.041	3	1494
	r[264]	0.5688	0.5474	0.01439	-0.447	0.5676	1.646	3	1494
	r[265]	-0.4995	0.4658	0.01145	-1.436	-0.4919	0.4053	3	1494
	r[266]	0.7651	0.4853	0.01134	-0.2129	0.77	1.722	3	1494
	r[267]	0.9502	0.4446	0.0129	0.1017	0.9625	1.846	3	1494
	r[268]	-0.3737	0.5457	0.01496	-1.541	-0.337	0.6163	3	1494
	r[269]	0.6483	0.3696	0.01062	-0.07441	0.6453	1.368	3	1494
	r[270]	0.008359	0.4215	0.01172	-0.8104	-0.002096	0.8003	3	1494
	r[271]	-0.04278	0.5939	0.01635	-1.229	-0.03521	1.12	3	1494
	r[272]	-0.2762	0.551	0.01617	-1.397	-0.2621	0.7651	3	1494
	r[273]	-0.2358	0.5096	0.01316	-1.264	-0.2159	0.7375	3	1494
	r[274]	0.1072	0.4924	0.01241	-0.8812	0.1113	1.042	3	1494
	r[275]	-0.583	0.4157	0.01042	-1.403	-0.567	0.2382	3	1494
	r[276]	0.09466	0.3159	0.008355	-0.5178	0.0991	0.7133	3	1494
	r[277]	0.466	0.5532	0.01544	-0.6434	0.4786	1.541	3	1494
	r[278]	-0.699	0.5016	0.01304	-1.743	-0.6814	0.212	3	1494
	r[279]	0.3054	0.4699	0.01079	-0.583	0.3119	1.229	3	1494
	r[280]	0.7303	0.3505	0.009068	-0.001743	0.7401	1.426	3	1494
	r[281]	0.6189	0.3257	0.008722	-0.05183	0.6187	1.275	3	1494
	r[282]	0.1387	0.3542	0.008594	-0.5446	0.1397	0.8336	3	1494
	r[283]	-0.2868	0.3473	0.009608	-0.9641	-0.2855	0.3848	3	1494
