LAD12CD,LAD12CDO,LAD12NM,PCO12CD,PCO12CDO,PCO12NM
E07000101,26UH,Stevenage,E16000150,5QV,Hertfordshire
E07000102,26UJ,Three Rivers,E16000150,5QV,Hertfordshire
E07000103,26UK,Watford,E16000150,5QV,Hertfordshire
E07000241,26UL,Welwyn Hatfield,E16000150,5QV,Hertfordshire
E07000105,29UB,Ashford,E16000132,5QA,Eastern and Coastal Kent
E07000106,29UC,Canterbury,E16000132,5QA,Eastern and Coastal Kent
E07000107,29UD,Dartford,E16000111,5P9,West Kent
E07000108,29UE,Dover,E16000132,5QA,Eastern and Coastal Kent
E07000109,29UG,Gravesham,E16000111,5P9,West Kent
E07000110,29UH,Maidstone,E16000111,5P9,West Kent
E07000111,29UK,Sevenoaks,E16000111,5P9,West Kent
E07000112,29UL,Shepway,E16000132,5QA,Eastern and Coastal Kent
E07000113,29UM,Swale,E16000132,5QA,Eastern and Coastal Kent
E07000114,29UN,Thanet,E16000132,5QA,Eastern and Coastal Kent
E07000115,29UP,Tonbridge and Malling,E16000111,5P9,West Kent
E07000116,29UQ,Tunbridge Wells,E16000111,5P9,West Kent
E07000117,30UD,Burnley,E16000089,5NH,East Lancashire Teaching
E07000118,30UE,Chorley,E16000088,5NG,Central Lancashire
E07000119,30UF,Fylde,E16000087,5NF,North Lancashire Teaching
E07000120,30UG,Hyndburn,E16000089,5NH,East Lancashire Teaching
E07000121,30UH,Lancaster,E16000087,5NF,North Lancashire Teaching
E07000122,30UJ,Pendle,E16000089,5NH,East Lancashire Teaching
E07000123,30UK,Preston,E16000088,5NG,Central Lancashire
E07000124,30UL,Ribble Valley,E16000089,5NH,East Lancashire Teaching
E07000125,30UM,Rossendale,E16000089,5NH,East Lancashire Teaching
E07000126,30UN,South Ribble,E16000088,5NG,Central Lancashire
E07000127,30UP,West Lancashire,E16000088,5NG,Central Lancashire
E07000128,30UQ,Wyre,E16000087,5NF,North Lancashire Teaching
E07000129,31UB,Blaby,E16000112,5PA,Leicestershire County and Rutland
E07000130,31UC,Charnwood,E16000112,5PA,Leicestershire County and Rutland
E07000131,31UD,Harborough,E16000112,5PA,Leicestershire County and Rutland
