LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER
    E42000089 Inner London,39,"31,989","2,160","7,187",931,"8,110","2,383"
    E42000089 Inner London,40,"30,135","2,118","6,684",754,"8,939","2,331"
    E42000089 Inner London,41,"27,907","1,985","6,281",743,"9,202","2,236"
    E42000089 Inner London,42,"27,294","2,033","5,767",763,"9,867","2,264"
    E42000089 Inner London,43,"26,645","1,894","5,286",566,"9,719","2,176"
    E42000089 Inner London,44,"26,590","1,941","4,917",585,"9,782","1,996"
    E42000089 Inner London,45,"25,347","1,796","4,464",556,"9,935","1,947"
    E42000089 Inner London,46,"25,215","1,782","4,164",529,"9,678","1,863"
    E42000089 Inner London,47,"24,103","1,610","4,028",568,"9,417","1,692"
    E42000089 Inner London,48,"23,102","1,460","4,062",562,"9,058","1,662"
    E42000089 Inner London,49,"22,144","1,267","3,877",491,"7,699","1,523"
    E42000089 Inner London,50,"21,817","1,308","3,741",454,"7,852","1,415"
    E42000089 Inner London,51,"20,158","1,175","3,688",442,"7,083","1,351"
    E42000089 Inner London,52,"19,357","1,061","3,605",478,"6,379","1,195"
    E42000089 Inner London,53,"18,999",906,"3,540",512,"5,531","1,129"
    E42000089 Inner London,54,"18,062",776,"3,568",478,"5,101","1,118"
    E42000089 Inner London,55,"17,814",743,"3,197",505,"4,674","1,034"
    E42000089 Inner London,56,"16,613",690,"3,179",471,"4,210",940
    E42000089 Inner London,57,"16,331",566,"2,991",416,"3,518",926
    E42000089 Inner London,58,"16,007",563,"3,090",418,"3,271",882
    E42000089 Inner London,59,"15,689",519,"2,716",351,"2,845",814
    E42000089 Inner London,60,"15,511",475,"2,626",342,"2,783",777
    E42000089 Inner London,61,"15,759",454,"2,463",354,"2,479",780
    E42000089 Inner London,62,"15,985",422,"2,161",337,"2,282",718
    E42000089 Inner London,63,"16,572",394,"2,082",341,"2,105",675
    E42000089 Inner London,64,"16,526",351,"1,852",284,"1,962",593
    E42000089 Inner London,65,"12,827",383,"1,613",235,"1,979",516
    E42000089 Inner London,66,"12,950",388,"1,532",213,"2,096",513
    E42000089 Inner London,67,"11,935",301,"1,519",181,"2,118",433
    E42000089 Inner London,68,"11,075",313,"1,584",175,"2,371",422
    E42000089 Inner London,69,"9,624",286,"1,470",162,"2,184",383
    E42000089 Inner London,70,"9,358",317,"1,675",188,"2,428",364
    E42000089 Inner London,71,"9,501",306,"1,627",182,"2,644",382
    E42000089 Inner London,72,"9,437",293,"1,606",189,"2,455",345
    E42000089 Inner London,73,"8,760",258,"1,409",152,"2,251",302
    E42000089 Inner London,74,"8,596",281,"1,412",152,"2,246",319
