LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER,total
        E41000312 Kingston upon Thames,18,667,63,159,18,59,32,998
        E41000312 Kingston upon Thames,19,943,117,217,29,102,34,1442
        E41000312 Kingston upon Thames,20,1090,81,224,56,103,54,1608
        E41000312 Kingston upon Thames,21,1091,79,206,56,81,64,1577
        E41000312 Kingston upon Thames,22,947,94,195,50,60,60,1406
        E41000312 Kingston upon Thames,23,929,55,193,36,51,42,1306
        E41000312 Kingston upon Thames,24,890,54,165,47,33,33,1222
        E41000312 Kingston upon Thames,25,830,65,170,15,53,44,1177
        E41000312 Kingston upon Thames,26,819,44,192,23,24,40,1142
        E41000312 Kingston upon Thames,27,930,55,185,40,33,40,1283
        E41000312 Kingston upon Thames,28,915,39,249,34,27,38,1302
        E41000312 Kingston upon Thames,29,916,38,225,42,36,38,1295
        E41000312 Kingston upon Thames,30,1029,46,231,33,35,30,1404
        E41000312 Kingston upon Thames,31,1041,30,232,37,32,39,1411
        E41000312 Kingston upon Thames,32,989,44,230,40,29,32,1364
        E41000312 Kingston upon Thames,33,917,42,231,20,31,34,1275
        E41000312 Kingston upon Thames,34,943,43,236,23,35,42,1322
        E41000312 Kingston upon Thames,35,972,42,248,37,47,45,1391
        E41000312 Kingston upon Thames,36,941,32,239,28,31,43,1314
        E41000312 Kingston upon Thames,37,927,38,223,30,27,41,1286
        E41000312 Kingston upon Thames,38,966,35,251,26,43,38,1359
        E41000312 Kingston upon Thames,39,937,35,234,28,46,35,1315
        E41000312 Kingston upon Thames,40,937,37,204,23,38,46,1285
        E41000312 Kingston upon Thames,41,872,26,189,18,39,37,1181
        E41000312 Kingston upon Thames,42,886,22,206,32,40,27,1213
        E41000312 Kingston upon Thames,43,861,30,225,24,33,34,1207
        E41000312 Kingston upon Thames,44,908,33,191,20,23,22,1197
        E41000312 Kingston upon Thames,45,909,27,178,21,31,24,1190
        E41000312 Kingston upon Thames,46,878,30,171,15,37,30,1161
        E41000312 Kingston upon Thames,47,840,21,176,32,33,27,1129
        E41000312 Kingston upon Thames,48,872,14,157,24,34,34,1135
        E41000312 Kingston upon Thames,49,805,16,146,23,27,28,1045
        E41000312 Kingston upon Thames,50,826,13,153,22,31,31,1076
        E41000312 Kingston upon Thames,51,753,16,121,14,28,18,950
        E41000312 Kingston upon Thames,52,739,31,125,23,15,25,958
        E41000312 Kingston upon Thames,53,671,4,105,17,17,17,831
        E41000312 Kingston upon Thames,54,715,13,124,26,16,11,905
        E41000312 Kingston upon Thames,55,654,10,96,20,14,14,808
        E41000312 Kingston upon Thames,56,679,13,110,19,17,25,863
        E41000312 Kingston upon Thames,57,674,10,79,22,14,15,814
        E41000312 Kingston upon Thames,58,633,5,89,27,11,18,783
        E41000312 Kingston upon Thames,59,616,5,78,19,10,21,749
        E41000312 Kingston upon Thames,60,633,11,89,18,12,14,777
        E41000312 Kingston upon Thames,61,674,11,84,9,11,12,801
        E41000312 Kingston upon Thames,62,703,11,87,16,10,12,839
        E41000312 Kingston upon Thames,63,698,5,86,14,11,16,830
        E41000312 Kingston upon Thames,64,724,13,85,10,11,14,857
        E41000312 Kingston upon Thames,65,541,4,68,10,10,17,650
        E41000312 Kingston upon Thames,66,514,6,52,8,4,19,603
        E41000312 Kingston upon Thames,67,504,6,50,10,7,11,588
        E41000312 Kingston upon Thames,68,464,3,57,2,4,5,535
        E41000312 Kingston upon Thames,69,415,6,48,8,13,10,500
        E41000312 Kingston upon Thames,70,404,2,49,3,2,17,477
        E41000312 Kingston upon Thames,71,420,8,43,5,6,7,489
        E41000312 Kingston upon Thames,72,449,7,41,3,6,7,513
        E41000312 Kingston upon Thames,73,377,1,42,4,4,7,435
        E41000312 Kingston upon Thames,74,431,3,33,5,7,9,488
        E41000312 Kingston upon Thames,75,393,4,31,4,3,3,438
        E41000312 Kingston upon Thames,76,364,5,36,1,0,10,416
        E41000312 Kingston upon Thames,77,383,1,19,7,1,1,412
        E41000312 Kingston upon Thames,78,357,4,27,0,2,4,394
        E41000312 Kingston upon Thames,79,390,2,24,6,2,5,429
        E41000312 Kingston upon Thames,80,369,1,22,3,0,9,404
        E41000312 Kingston upon Thames,81,373,4,16,4,1,5,403
        E41000312 Kingston upon Thames,82,332,3,12,3,0,4,354
        E41000312 Kingston upon Thames,83,305,1,16,2,1,4,329
        E41000312 Kingston upon Thames,84,289,3,16,3,0,1,312
        E41000312 Kingston upon Thames,     85 - 89,1366,6,44,3,4,6,1429
        E41000312 Kingston upon Thames,     90 - 94,673,1,12,3,1,1,691
        E41000312 Kingston upon Thames,     95 - 99,171,1,0,2,1,0,175
        E41000312 Kingston upon Thames,     100 and over,21,0,0,0,0,0,21
        E41000315 Merton,        E41000315 Merton,0,0,0,0,0,0,0
        E41000315 Merton,     Total: Age,65728,4690,16321,1469,11183,1787,101178
        E41000315 Merton,0,926,145,272,17,144,23,1527
        E41000315 Merton,1,905,155,293,17,138,28,1536
        E41000315 Merton,2,840,153,263,13,177,26,1472
        E41000315 Merton,3,771,143,246,11,175,20,1366
        E41000315 Merton,4,693,141,260,12,162,16,1284
        E41000315 Merton,5,690,111,295,14,185,28,1323
        E41000315 Merton,6,625,111,232,12,165,26,1171
        E41000315 Merton,7,602,114,231,9,144,24,1124
        E41000315 Merton,8,510,96,180,8,136,25,955
        E41000315 Merton,9,543,110,204,8,133,25,1023
        E41000315 Merton,10,536,100,208,10,154,20,1028
        E41000315 Merton,11,531,101,193,13,155,15,1008
        E41000315 Merton,12,532,96,191,6,156,14,995
        E41000315 Merton,13,532,119,180,7,174,21,1033
        E41000315 Merton,14,523,100,209,14,173,18,1037
        E41000315 Merton,15,513,85,156,11,189,13,967
        E41000315 Merton,16,539,79,191,11,180,25,1025
        E41000315 Merton,17,555,104,198,7,194,27,1085
        E41000315 Merton,18,534,72,191,12,166,22,997
        E41000315 Merton,19,399,58,160,6,142,18,783
        E41000315 Merton,20,479,60,162,9,116,30,856
        E41000315 Merton,21,590,62,196,5,165,32,1050
        E41000315 Merton,22,756,82,228,27,162,20,1275
        E41000315 Merton,23,999,88,257,30,163,27,1564
        E41000315 Merton,24,1076,82,244,30,134,27,1593
        E41000315 Merton,25,1196,80,256,18,155,28,1733
        E41000315 Merton,26,1307,87,305,31,153,30,1913
